Number,Title of Article,Link,Data Type by Origin,Data Collection Type,Data by Disciplinary Concept,Qualitative vs Quantitative,Descriptions on what is being recorded,Direct Quotes,Journals,
1,Frankenstein at 200,https://www.nytimes.com/2018/10/25/arts/frankenstein-at-200.html,records,reference,secondary,Qualitative,"This article offers various interpretations on the behavioral traits and physical features portrayed in the roles of the creator and and monster. The article spoke on how people understood the historical and personal context of Mary Shelley personal life and the developments of science during the 1800s, which influenced several homages to the original.","inspired exhibitions, performances and events, 107+ screen homages. image of the monster under Universal Picture copyright, ""green-skinned, bolt-in-the-neck image embodied by Boris Karloff"", 20th century initated the warning against science atomic bomb, artificial intelligence, genetic engineering, nanotechnology turn on its creators, Ed Finn, a literary scholar at Arizona State University said ""dangerous narrative"". allegory of male usurpation of female procreative power, Deidre Lynch, an English professor at Harvard said “unnatural” creation, and also, perhaps more conventionally, about family life, Victor LaValle novelist said “Destroyer,”",,
2,Frankenstein: 10 possible meanings,https://www.bbc.com/news/magazine-12711091,records,research,secondary,Qualitative,"The feminist resource depicts Mary Shelley's experiences with motherhood, birth and the death of her family members and creates assumptions on the relationship between the creator and monster. The article analyzes parts of Shelley's personal diary to reason with elements of choas and tenderness within the monster's behavior.","""creating life"", Bad science, ""shadowy double of Victor Frankenstein"", ""human and the divine"", first feminist interpretation of Frankenstein was by Ellen Moers, who read Shelley's novel as a sublimated afterbirth, ""revolutionary thought in Europe"", Shelley was ""anti-revolution""",,
3,Frankenstein' Reflects the Hopes and Fears of Every Scientific Era,https://www.theatlantic.com/science/archive/2017/04/franken-science/523560/,records,reference,secondary,Qualitative,"This article analyzes how one views the monster by using various descriptive adjectives such as ""ugly"", ""unnatural"", ""perverted"", ""ghastly"" as depictions of the creature to spark the creature as a myth.","warning about a hubristic, overreaching science, Shelley presents mixed messages, ""she shows us is a man behaving badly, but what she seems to tell us is that he is tragic and sympathetic""",,
4,The Strange and Twisted Life of “Frankenstein”,https://www.newyorker.com/magazine/2018/02/12/the-strange-and-twisted-life-of-frankenstein,records,research,secondary,Qualitative,"The article gives an overview on the historical figues who inspired Shelley for the characters of Victor Frankenstein, and described Shelley's trip to Lake Geneva where she began the first version of the novel written when she was a teenager.",,,
5,A User’s Guide to Frankenstein,https://www.moma.org/magazine/articles/14,records,reference,secondary,Qualitative,"This article serves as a historical guide which summarizes the most notable remakes of Frankenstein and the diiferent versions of written works, films, television series and journals to honor the legacy of the novel.",,,
6,Who put the spark in Frankenstein’s monster?,https://www.theguardian.com/books/2018/mar/04/frankenstein-monster-200th-anniversary-electricity-mary-shelley,records,reference,secondary,Qualitative,The article describes Shelley's contribution to the science fiction genre and the historial scientific invention and descovery during the early 1800s that was incorporated into the storyline.,,,
7,Frankenstein: A virtual issue from Literature and Theology,https://academic.oup.com/litthe/pages/frankenstein,records,research,secondary,Qualitative,"The articla depicts the scientific, political and social inspirations that influenced the text. The themes relating to gender, scientific advancement, dystopia, and ethical principles are analyzed to extrapelate meaning from the novel.",,,
8,The unspoken motive a guide to psychoanalytic literary criticism,https://pep-web.org/browse/document/paq.045.0165a,records,research,secondary,Qualitative,A chapter of the novel describes the Freudian analysis of Frankenstein which covers Shelley's contribution of instinct theory and the ego carried out by the monster. It describes the networks between Victor Frankenstein and its monster to identify these characteristics of physcoanalysis.,,,
9,Frankenstein and the Physiognomy of Desire,http://knarf.english.upenn.edu/Articles/hill.html,records,reference,secondary,Qualitative,"The chapter breaks down the consciousness behind the characterizations of each role inspired by Shelley's nightmare. A thoughtful combination between objects of desire, fantasy, and destructive behavior were influences on her construction of the monster.",,,
10,Frankenstein: Creation as Catastrophe,https://www.cambridge.org/core/journals/pmla/article/abs/frankenstein-creation-as-catastrophe/40AFBF23476041ECF8A55827303A3D43,records,reference,secondary,Qualitative,The article places heavy emphasis of dystopia and the world. It links themes such as self to phycoanalyze the monster and its potential for uncontrolled science.,,,
11,The Endurance of Frankenstein: Essays on Mary Shelley's Novel,"https://books.google.com/books?id=e9xIcGHar2oC&pg=PA329&lpg=PA329&dq=Gerhard+Joseph,+%E2%80%9CFrankenstein%27s+Dream:+The+Child+as+Father+of+the+Monster,%E2%80%9D+Hartford+Studies+in+Literature,+7+(1975),+97%E2%80%93115&source=bl&ots=mywC0AVkps&sig=ACfU3U2E6g_q59rnJgo4Hk1NxdGwIxYGWg&hl=en&sa=X&ved=2ahUKEwj7lvWHwrf1AhUgIUQIHeM8BWwQ6AF6BAgOEAM#v=onepage&q=Gerhard%20Joseph%2C%20%E2%80%9CFrankenstein's%20Dream%3A%20The%20Child%20as%20Father%20of%20the%20Monster%2C%E2%80%9D%20Hartford%20Studies%20in%20Literature%2C%207%20(1975)%2C%2097%E2%80%93115&f=false",records,research,secondary,Qualitative,The book captures the legacy of the book which has lead to Victorian and Gothic cultural significance in the world of drama and film. The book juxtuposes the monsters ability to demonstrate light while projecting darkess.,,,
12,"Frankenstein; or, the Modern Narcissus",http://knarf.english.upenn.edu/Articles/berman.html,records,reference,secondary,Qualitative,"This is a comparative piece comparing the journals that have contributed to Frankenstein scholarship and extrapolating the elements of what each article has chosen to critique. Examples are feminsm, narcissism, evil invention, phsycoanalysis.",,,
13,"""My Accursed Origin"": The Search for the Mother in Frankenstein",http://knarf.english.upenn.edu/Articles/rubenst.html,records,reference,secondary,Qualitative,The article notes the construction of the novel was iniated by a short transcript and through clips of Shelley's letters. The resource critiques the frequent shift in narrative focus based on the comparison between the original and Shelley's edited version which she published a few years after the original was published.,,,
14,Mary Shelley's Divine Tragedy,http://knarf.english.upenn.edu/Articles/gardner.html,records,reference,secondary,Qualitative,The article highlights the themes of loneliness and curiosity which caused the tragedy behind the monster's actions and the hazard of scientific invention. The themes are analyze by using the context of Victor Frankenstein's demeanor and its initiative to a creature made of human body parts.,,,
15,Science Fiction Vs. Fantasy,http://knarf.english.upenn.edu/Articles/kroeber.html,records,reference,secondary,Qualitative,This chapter compares the novel's contriibutions as the first book to initate the science fiction genre which providing opposing arguments indicating that the monster is a magical story inspired by mythology. The article comments on Shelley's connections to scientific researchers and a deep understanding of invention.,,,
16,"Frankenstein, Mary Shelley's Myth-Making",http://knarf.english.upenn.edu/Articles/clemit.html,records,reference,secondary,Qualitative,"The article creates assumptions on Shelley's intention by comparing her published work, and implies that the author assert a narrative overlap between an inventor tansitioning into motherhood placing value on family which plays out in the original.",,,
17,Female Gothic,http://knarf.english.upenn.edu/Articles/moers.html,records,research,secondary,Qualitative,"The chapter discusses the traits of literary horror portrayed in the novel to acknowledge its legacy as Gothic literature written by women. The rescource discusses the access to information and education Shelley had during the 1800s which influence the genre significantly. Her intellectual parents and friends provided informed decisions on Shelley's work, and aided her unique and sophisticated thinking which made her a central figure in literature written by women.",,,
